district,climate_zone,experience_level,budget_level,farming_setup,soil_type,season,crop_type_preference,water_access,recommendation_1,recommendation_1_score,recommendation_2,recommendation_2_score,recommendation_3,recommendation_3_score,success_probability,estimated_roi,profitability_score,space_required_sqm,growth_duration_days,difficulty_level,market_demand,market_price_per_kg,water_requirement,market_conditions,alternative_crops
Horana,wet_zone,Intermediate,Low,Container,Red_Earth,Maha,Vegetables,No,Aloe Vera,72.8,Green Beans,69.9,Curry Leaves,62.4,0.627,47.3,70,1.8,67,1,9,426,Low,0.96,"Tomato, Carrot, Brahmi"
Matara,coastal,Intermediate,Medium,Backyard,Sandy,Yala,Cash_Crops,Yes,Chili,99.8,Passion Fruit,98.3,Aloe Vera,97,0.873,175.1,72,1.1,82,2,10,355,Medium,1.06,"Moringa, Lime, Lemon"
Kalmunai,wet_zone,Advanced,Medium,Small_Plot,Clay,Maha,Cash_Crops,Yes,Black Pepper,100,Avocado,100,Mangosteen,100,0.95,79.7,88,7.8,231,4,10,2895,High,1.01,"Saffron, Passion Fruit, Cardamom"
Monaragala,dry_zone,Beginner,Medium,Container,Red_Earth,Yala,Cash_Crops,Yes,Chili,99.8,Aloe Vera,97,Eggplant,75.6,0.839,58.2,72,1.7,61,2,10,605,Medium,1.09,"Curry Leaves, Okra, Ginger"
Gampaha,coastal,Beginner,Medium,Container,Alluvial,Maha,Leafy_Greens,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.739,186.5,72,1.9,79,2,8,367,Medium,0.91,"Cherry Tomato, Eggplant, Bell Pepper"
Bandarawela,hill_country,Intermediate,Medium,Small_Plot,Red_Earth,Yala,Leafy_Greens,Yes,Turmeric,100,Avocado,100,Lemon,81.9,0.95,221.2,76,4.7,223,2,9,458,Medium,1.05,"Baby Corn, Broccoli, Passion Fruit"
Badulla,hill_country,Beginner,Medium,Small_Plot,Laterite,Maha,Herbs,No,Turmeric,86.2,Lemon,73.7,Moringa,70.7,0.729,117.1,76,3,300,2,7,264,Medium,1.12,"Baby Corn, Cabbage, Lime"
Kilinochchi,northern,Beginner,Low,Backyard,Clay,Maha,Herbs,Yes,Chili,90.7,Eggplant,83.2,Okra,68,0.761,103.4,72,2.9,62,2,9,384,Medium,0.85,"Tomato, Aloe Vera, Moringa"
Matara,coastal,Beginner,Low,Backyard,Laterite,Yala,Ayurvedic_Plants,Yes,Chili,99.8,Aloe Vera,97,Moringa,85.7,0.95,73.6,72,1.8,76,2,10,423,Medium,1.07,"Lime, Lemon, Tomato"
Gampaha,coastal,Advanced,Medium,Backyard,Laterite,Maha,Ayurvedic_Plants,Yes,Black Pepper,99.8,Passion Fruit,98.3,Chili,90.7,0.717,121,88,5.1,306,4,10,2125,High,0.95,"Tomato, Aloe Vera, Moringa"
Matale,hill_country,Advanced,Medium,Small_Plot,Red_Earth,Maha,Herbs,Yes,Saffron,100,Black Pepper,100,Cardamom,100,0.721,216.6,95,2.4,156,5,9,49873,Medium,0.84,"Avocado, Turmeric, Dragon Fruit"
Kandy,hill_country,Intermediate,High,Backyard,Red_Earth,Yala,Cash_Crops,Yes,Turmeric,100,Avocado,100,Ginger,100,0.95,99.6,76,2,247,2,10,277,Medium,1.02,"Chili, Lemon, Tomato"
Galle,coastal,Intermediate,Medium,Backyard,Sandy,Yala,Leafy_Greens,No,Aloe Vera,100,Moringa,94.2,Chili,89.8,0.95,134.4,70,1.5,84,1,10,258,Low,0.83,"Passion Fruit, Curry Leaves, Okra"
Galle,coastal,Beginner,Medium,Container,Sandy,Yala,Herbs,No,Aloe Vera,100,Chili,89.8,Curry Leaves,83.2,0.851,87.7,70,2.4,110,1,10,557,Low,1.06,"Okra, Bell Pepper, Cherry Tomato"
Matara,coastal,Advanced,Low,Rooftop,Sandy,Yala,Ayurvedic_Plants,Yes,Chili,99.8,Aloe Vera,97,Capsicum,78.1,0.767,49.8,72,2.7,79,2,10,212,Medium,0.85,"Curry Leaves, Basil, Mint"
Hambantota,dry_zone,Beginner,Medium,Small_Plot,Clay,Maha,Leafy_Greens,Yes,Moringa,85.7,Turmeric,71.8,Lime,62.4,0.647,208.9,68,5.1,99,2,9,571,Low,1.04,"Lemon, Wood Apple, Baby Corn"
Galle,coastal,Advanced,Medium,Backyard,Alluvial,Yala,Ayurvedic_Plants,No,Aloe Vera,100,Moringa,94.2,Chili,89.8,0.785,96.9,70,2.4,60,1,10,291,Low,1.06,"Passion Fruit, Curry Leaves, Okra"
Puttalam,dry_zone,Beginner,Medium,Container,Clay,Maha,Ayurvedic_Plants,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.888,201.6,70,1.2,94,1,9,412,Low,1.08,"Eggplant, Okra, Lemongrass"
Vavuniya,northern,Beginner,Medium,Container,Alluvial,Maha,Herbs,Yes,Chili,90.7,Eggplant,83.2,Ginger,69.9,0.769,67.8,72,2.1,60,2,9,396,Medium,0.93,"Okra, Tomato, Aloe Vera"
Monaragala,dry_zone,Intermediate,Low,Container,Clay,Maha,Herbs,Yes,Chili,90.7,Aloe Vera,88.2,Eggplant,83.2,0.668,186.5,72,1.9,64,2,10,236,Medium,1.13,"Curry Leaves, Okra, Tomato"
Horana,wet_zone,Intermediate,Low,Rooftop,Clay,Yala,Fruits,Yes,Chili,74.8,Aloe Vera,72.8,Mint,69.3,0.686,210.1,72,2.8,75,2,10,290,Medium,1.03,"Capsicum, Spinach, Curry Leaves"
Colombo,coastal,Beginner,Medium,Small_Plot,Laterite,Yala,Fruits,Yes,Moringa,85.7,Lime,83.2,Lemon,81.9,0.637,68.6,68,4.8,110,2,10,549,Low,1.08,"Turmeric, Papaya, Banana"
Gampaha,coastal,Beginner,Low,Backyard,Laterite,Maha,Cash_Crops,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.737,194.7,72,2.6,69,2,9,276,Medium,1.07,"Moringa, Eggplant, Lime"
Kalmunai,wet_zone,Intermediate,Medium,Small_Plot,Alluvial,Maha,Vegetables,Yes,Avocado,100,Passion Fruit,98.3,Turmeric,95.8,0.95,96.2,82,9.1,229,3,10,389,Medium,1.01,"Lime, Baby Corn, Jackfruit"
Monaragala,dry_zone,Beginner,Medium,Rooftop,Alluvial,Yala,Leafy_Greens,Yes,Chili,99.8,Aloe Vera,97,Curry Leaves,75.6,0.802,218.3,72,2,69,2,10,233,Medium,0.81,"Capsicum, Basil, Mint"
Kalmunai,wet_zone,Beginner,Medium,Rooftop,Red_Earth,Yala,Vegetables,No,Aloe Vera,80,Chili,67.4,Curry Leaves,62.4,0.633,193.2,70,2.3,75,1,10,455,Low,1.07,"Capsicum, Basil, Mint"
Badulla,hill_country,Intermediate,Low,Container,Loamy,Maha,Leafy_Greens,Yes,Ginger,93.2,Tomato,88.7,Cherry Tomato,84.4,0.95,96.4,74,3.4,208,2,10,197,High,0.89,"Brahmi, Bell Pepper, Capsicum"
Colombo,coastal,Beginner,Low,Rooftop,Sandy,Yala,Cash_Crops,Yes,Chili,99.8,Aloe Vera,97,Capsicum,78.1,0.95,218.1,72,1.2,75,2,10,231,Medium,0.89,"Curry Leaves, Basil, Mint"
Kilinochchi,northern,Beginner,Medium,Container,Clay,Yala,Herbs,No,Chili,89.8,Okra,82.3,Aloe Vera,80,0.791,72.4,72,1.7,69,2,10,361,Medium,0.96,"Eggplant, Curry Leaves, Bell Pepper"
Monaragala,dry_zone,Beginner,Low,Backyard,Alluvial,Yala,Fruits,No,Aloe Vera,100,Moringa,94.2,Chili,89.8,0.851,184.1,70,2.5,67,1,10,459,Low,1.18,"Curry Leaves, Okra, Lemongrass"
Matale,hill_country,Intermediate,Medium,Backyard,Red_Earth,Yala,Fruits,Yes,Turmeric,100,Avocado,100,Ginger,93.2,0.95,108.1,76,3.7,253,2,10,387,Medium,1.12,"Lemon, Tomato, Baby Corn"
Ratnapura,wet_zone,Beginner,High,Greenhouse,Red_Earth,Yala,Cash_Crops,Yes,Tomato,80.6,Cucumber,73.1,Bell Pepper,66.5,0.703,157.3,64,2.6,90,2,10,126,High,1.03,"Cherry Tomato, Capsicum, Basil"
Mullaitivu,northern,Intermediate,Medium,Small_Plot,Alluvial,Maha,Vegetables,Yes,Pomegranate,85.7,Avocado,77.5,Passion Fruit,73.7,0.69,97.2,68,8.4,124,3,9,527,Medium,0.89,"Turmeric, Ashwagandha, Broccoli"
Matara,coastal,Intermediate,Low,Container,Alluvial,Maha,Cash_Crops,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.838,88.3,72,2,71,2,10,553,Medium,1.04,"Cherry Tomato, Eggplant, Bell Pepper"
Matara,coastal,Advanced,High,Backyard,Sandy,Yala,Fruits,Yes,Chili,100,Aloe Vera,100,Passion Fruit,100,0.736,110.9,72,2.3,85,2,9,301,Medium,0.96,"Black Pepper, Turmeric, Moringa"
Kalutara,coastal,Advanced,Low,Backyard,Laterite,Yala,Leafy_Greens,No,Aloe Vera,100,Moringa,94.2,Chili,89.8,0.86,91.6,70,1.5,65,1,10,592,Low,1.13,"Passion Fruit, Curry Leaves, Okra"
Vavuniya,northern,Beginner,Low,Backyard,Clay,Maha,Fruits,Yes,Chili,90.7,Eggplant,83.2,Okra,68,0.726,194.5,72,2.6,69,2,9,186,Medium,0.86,"Tomato, Aloe Vera, Moringa"
Ampara,wet_zone,Intermediate,High,Small_Plot,Alluvial,Maha,Ayurvedic_Plants,Yes,Avocado,100,Passion Fruit,100,Turmeric,100,0.711,132.5,82,8.9,193,3,10,735,Medium,1.05,"Lime, Baby Corn, Ashwagandha"
Horana,wet_zone,Intermediate,High,Greenhouse,Alluvial,Maha,Herbs,No,Tomato,62.1,Brahmi,57.3,Cherry Tomato,57,0.455,145.9,64,2.6,70,2,8,88,High,0.99,"Cucumber, Bell Pepper, Capsicum"
Matara,coastal,Intermediate,Medium,Container,Sandy,Maha,Ayurvedic_Plants,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.841,105.2,72,2.4,66,2,10,492,Medium,1.09,"Cherry Tomato, Eggplant, Bell Pepper"
Batticaloa,coastal,Advanced,Medium,Rooftop,Laterite,Yala,Leafy_Greens,Yes,Chili,99.8,Aloe Vera,97,Capsicum,78.1,0.95,168.7,72,2.3,82,2,10,456,Medium,1.03,"Curry Leaves, Basil, Mint"
Matara,coastal,Intermediate,Medium,Container,Laterite,Yala,Fruits,No,Aloe Vera,100,Chili,89.8,Curry Leaves,83.2,0.95,197.6,70,2.5,85,1,10,388,Low,0.82,"Okra, Bell Pepper, Cherry Tomato"
Kandy,hill_country,Advanced,Medium,Small_Plot,Red_Earth,Yala,Ayurvedic_Plants,Yes,Saffron,100,Black Pepper,100,Turmeric,100,0.95,54.6,95,2.3,179,5,10,67146,Medium,1.06,"Cardamom, Avocado, Dragon Fruit"
Kandy,hill_country,Beginner,Medium,Small_Plot,Red_Earth,Maha,Cash_Crops,Yes,Turmeric,95.8,Lemon,81.9,Baby Corn,73.1,0.759,63.4,76,2.7,209,2,10,415,Medium,1.03,"Moringa, Cabbage, Lime"
Matale,hill_country,Beginner,Low,Backyard,Red_Earth,Yala,Leafy_Greens,Yes,Turmeric,100,Ginger,93.2,Lemon,81.9,0.95,83.5,76,3.1,247,2,10,342,Medium,0.98,"Tomato, Baby Corn, Curry Leaves"
Ampara,wet_zone,Intermediate,Medium,Backyard,Alluvial,Yala,Ayurvedic_Plants,Yes,Turmeric,100,Avocado,100,Passion Fruit,98.3,0.95,134.4,76,3.8,280,2,10,475,Medium,1.09,"Ginger, Lime, Tomato"
Ella,hill_country,Beginner,Medium,Small_Plot,Laterite,Maha,Ayurvedic_Plants,No,Turmeric,86.2,Lemon,73.7,Moringa,70.7,0.708,63.6,76,2.9,247,2,7,411,Medium,1.13,"Baby Corn, Cabbage, Lime"
Jaffna,northern,Advanced,Medium,Small_Plot,Red_Earth,Maha,Vegetables,Yes,Saffron,100,Black Pepper,99.8,Cardamom,97.5,0.95,179.7,95,2.4,172,5,10,62157,Medium,0.98,"Dragon Fruit, Pomegranate, Mangosteen"
Kalutara,coastal,Intermediate,Low,Container,Laterite,Yala,Cash_Crops,Yes,Chili,99.8,Aloe Vera,97,Bell Pepper,88.7,0.865,185.5,72,2.8,86,2,8,195,Medium,0.8,"Cherry Tomato, Tomato, Capsicum"
Mannar,northern,Intermediate,Low,Container,Clay,Maha,Cash_Crops,Yes,Chili,90.7,Eggplant,83.2,Okra,68,0.907,208.1,72,2.4,79,2,10,514,Medium,1.11,"Tomato, Aloe Vera, Cherry Tomato"
Vavuniya,northern,Beginner,Medium,Container,Clay,Maha,Herbs,No,Chili,81.6,Eggplant,74.8,Okra,74.8,0.785,66.8,72,2.6,68,2,10,506,Medium,0.91,"Aloe Vera, Curry Leaves, Cherry Tomato"
Gampaha,coastal,Intermediate,Medium,Container,Alluvial,Yala,Cash_Crops,Yes,Chili,99.8,Aloe Vera,97,Bell Pepper,88.7,0.873,62.8,72,2.5,75,2,10,307,Medium,1.08,"Cherry Tomato, Tomato, Capsicum"
Hatton,hill_country,Beginner,Medium,Backyard,Red_Earth,Maha,Herbs,Yes,Turmeric,95.8,Ginger,93.2,Tomato,88.7,0.824,92.9,76,4.9,266,2,10,359,Medium,1.12,"Lemon, Green Beans, Curry Leaves"
Ampara,wet_zone,Beginner,Medium,Container,Alluvial,Maha,Fruits,Yes,Ginger,93.2,Tomato,88.7,Cucumber,80.4,0.741,52.3,74,2.7,192,2,8,361,High,1.11,"Green Beans, Chili, Aloe Vera"
Kegalle,hill_country,Intermediate,Low,Container,Laterite,Maha,Leafy_Greens,Yes,Ginger,93.2,Tomato,88.7,Cherry Tomato,84.4,0.798,202.3,74,2.9,190,2,9,245,High,0.99,"Brahmi, Bell Pepper, Capsicum"
Hambantota,dry_zone,Intermediate,Medium,Backyard,Clay,Maha,Leafy_Greens,Yes,Chili,90.7,Aloe Vera,88.2,Ashwagandha,88.2,0.877,107,72,1.7,78,2,10,305,Medium,1.06,"Pomegranate, Moringa, Eggplant"
Negombo,coastal,Intermediate,High,Small_Plot,Sandy,Maha,Cash_Crops,Yes,Passion Fruit,100,Moringa,85.7,Avocado,85.2,0.95,112.3,78,7.7,118,3,10,554,Medium,1.04,"Lime, Lemon, Turmeric"
Colombo,coastal,Intermediate,Low,Rooftop,Laterite,Maha,Ayurvedic_Plants,Yes,Chili,90.7,Aloe Vera,88.2,Capsicum,78.1,0.818,91,72,1.2,64,2,10,432,Medium,1.05,"Curry Leaves, Basil, Mint"
Anuradhapura,dry_zone,Beginner,Medium,Small_Plot,Alluvial,Yala,Cash_Crops,No,Moringa,94.2,Turmeric,71.1,Wood Apple,62.4,0.947,45.8,68,3.5,97,2,9,532,Low,1.03,"Neem, Lime, Tamarind"
Ella,hill_country,Beginner,High,Backyard,Red_Earth,Yala,Vegetables,Yes,Turmeric,100,Ginger,100,Chili,82.3,0.899,84.6,76,2.2,188,2,10,233,Medium,0.84,"Lemon, Tomato, Baby Corn"
Colombo,coastal,Beginner,Low,Container,Alluvial,Yala,Leafy_Greens,Yes,Chili,99.8,Aloe Vera,97,Bell Pepper,88.7,0.95,205.9,72,2.9,82,2,10,388,Medium,0.99,"Cherry Tomato, Tomato, Capsicum"
Batticaloa,coastal,Beginner,Medium,Backyard,Laterite,Maha,Leafy_Greens,Yes,Chili,90.7,Tomato,88.7,Aloe Vera,88.2,0.919,135,72,2.9,75,2,10,291,Medium,1.16,"Moringa, Eggplant, Lime"
Mannar,northern,Beginner,Medium,Container,Red_Earth,Yala,Ayurvedic_Plants,No,Chili,89.8,Okra,82.3,Aloe Vera,80,0.86,201.2,72,2.8,84,2,10,486,Medium,1.05,"Eggplant, Curry Leaves, Bell Pepper"
Gampaha,coastal,Advanced,Low,Container,Laterite,Yala,Ayurvedic_Plants,Yes,Chili,99.8,Aloe Vera,97,Bell Pepper,88.7,0.95,84.3,72,1.1,70,2,10,675,Medium,1.14,"Cherry Tomato, Tomato, Capsicum"
Ratnapura,wet_zone,Advanced,Low,Container,Red_Earth,Maha,Ayurvedic_Plants,Yes,Ginger,93.2,Tomato,88.7,Brahmi,81.9,0.655,47,74,2.5,264,2,10,424,High,1,"Cucumber, Green Beans, Mint"
Puttalam,dry_zone,Advanced,Medium,Small_Plot,Red_Earth,Maha,Vegetables,No,Dragon Fruit,100,Ashwagandha,97,Saffron,97,0.95,184.8,84,6.8,100,4,10,700,Medium,0.82,"Moringa, Pomegranate, Avocado"
Puttalam,dry_zone,Beginner,High,Small_Plot,Red_Earth,Yala,Vegetables,Yes,Turmeric,86.9,Moringa,85.7,Lime,62.4,0.693,119,76,4.6,254,2,9,213,Medium,0.92,"Lemon, Baby Corn, Wood Apple"
Jaffna,northern,Intermediate,Low,Container,Red_Earth,Yala,Vegetables,Yes,Chili,99.8,Eggplant,75.6,Okra,74.8,0.747,129.3,72,1.2,67,2,10,504,Medium,0.94,"Aloe Vera, Bell Pepper, Cherry Tomato"
Mannar,northern,Beginner,High,Backyard,Alluvial,Maha,Leafy_Greens,Yes,Chili,99.8,Eggplant,83.2,Turmeric,79,0.95,178.7,72,2.8,60,2,10,483,Medium,1.1,"Ginger, Aloe Vera, Okra"
Batticaloa,coastal,Intermediate,Low,Container,Alluvial,Maha,Leafy_Greens,No,Aloe Vera,97,Curry Leaves,83.2,Chili,81.6,0.95,71.1,70,2,86,1,9,706,Low,1.17,"Cherry Tomato, Eggplant, Okra"
Polonnaruwa,dry_zone,Intermediate,Medium,Backyard,Alluvial,Yala,Vegetables,Yes,Chili,99.8,Aloe Vera,97,Ashwagandha,88.2,0.95,60.6,72,1.4,86,2,10,324,Medium,0.91,"Pomegranate, Moringa, Turmeric"
Jaffna,northern,Beginner,Low,Backyard,Clay,Maha,Herbs,Yes,Chili,90.7,Eggplant,83.2,Okra,68,0.898,160.2,72,1.2,64,2,10,443,Medium,1.14,"Tomato, Aloe Vera, Moringa"
Hambantota,dry_zone,Beginner,Medium,Container,Clay,Yala,Vegetables,Yes,Chili,99.8,Aloe Vera,97,Eggplant,75.6,0.802,96.4,72,2.5,64,2,10,329,Medium,1.04,"Curry Leaves, Okra, Ginger"
Gampaha,coastal,Intermediate,Low,Backyard,Laterite,Yala,Cash_Crops,Yes,Chili,99.8,Passion Fruit,98.3,Aloe Vera,97,0.927,113.5,72,2.7,88,2,10,440,Medium,1.1,"Moringa, Lime, Lemon"
Hambantota,dry_zone,Beginner,High,Greenhouse,Clay,Maha,Vegetables,No,Cherry Tomato,57,Bell Pepper,54.4,Capsicum,52.7,0.439,129.4,67,1.2,69,2,8,291,Medium,1.19,"Basil, Tomato, Cucumber"
Trincomalee,coastal,Advanced,High,Small_Plot,Sandy,Yala,Herbs,Yes,Dragon Fruit,100,Passion Fruit,100,Saffron,100,0.95,117.2,84,7.2,151,4,10,650,Medium,1.08,"Black Pepper, Cardamom, Turmeric"
Matara,coastal,Intermediate,Medium,Small_Plot,Laterite,Yala,Ayurvedic_Plants,Yes,Passion Fruit,98.3,Moringa,85.7,Lime,83.2,0.86,181.2,78,6.5,73,3,9,670,Medium,1.11,"Lemon, Turmeric, Avocado"
Galle,coastal,Intermediate,Low,Rooftop,Sandy,Maha,Herbs,Yes,Chili,90.7,Aloe Vera,88.2,Capsicum,78.1,0.663,132.3,72,2.1,71,2,10,291,Medium,1.08,"Curry Leaves, Basil, Mint"
Kalmunai,wet_zone,Beginner,Medium,Container,Alluvial,Yala,Fruits,No,Aloe Vera,80,Chili,67.4,Ginger,65.3,0.565,59.2,70,1.5,65,1,7,427,Low,0.95,"Green Beans, Curry Leaves, Okra"
Bandarawela,hill_country,Beginner,Low,Backyard,Red_Earth,Maha,Herbs,No,Turmeric,86.2,Curry Leaves,83.2,Lemon,73.7,0.741,99.2,76,3.4,226,2,10,437,Medium,1.06,"Aloe Vera, Moringa, Green Beans"
Nuwara Eliya,hill_country,Beginner,High,Greenhouse,Loamy,Yala,Ayurvedic_Plants,Yes,Bell Pepper,88.7,Cherry Tomato,84.4,Tomato,80.6,0.776,69.8,64,1.3,94,2,10,367,Medium,1.17,"Capsicum, Basil, Cucumber"
Jaffna,northern,Advanced,Low,Rooftop,Red_Earth,Maha,Vegetables,Yes,Chili,90.7,Aloe Vera,66.2,Capsicum,58.6,0.826,171.6,72,2.5,73,2,10,257,Medium,0.84,"Curry Leaves, Basil, Mint"
Vavuniya,northern,Intermediate,Medium,Small_Plot,Alluvial,Yala,Leafy_Greens,Yes,Pomegranate,85.7,Turmeric,79,Avocado,77.5,0.766,127.6,68,8.1,158,3,10,734,Medium,0.93,"Passion Fruit, Ashwagandha, Moringa"
Hambantota,dry_zone,Advanced,Low,Container,Red_Earth,Yala,Vegetables,No,Aloe Vera,100,Chili,89.8,Curry Leaves,83.2,0.826,158,70,2.1,89,1,10,366,Low,0.96,"Okra, Lemongrass, Eggplant"
Batticaloa,coastal,Intermediate,Medium,Backyard,Sandy,Yala,Leafy_Greens,Yes,Chili,99.8,Passion Fruit,98.3,Aloe Vera,97,0.795,46.7,72,1.5,63,2,10,675,Medium,1.09,"Moringa, Lime, Lemon"
Ratnapura,wet_zone,Beginner,Medium,Backyard,Red_Earth,Yala,Leafy_Greens,No,Turmeric,94.8,Aloe Vera,80,Lime,74.8,0.717,182.7,76,2.7,204,2,10,350,Medium,1.13,"Baby Corn, Moringa, Chili"
Monaragala,dry_zone,Intermediate,Medium,Small_Plot,Red_Earth,Maha,Leafy_Greens,No,Ashwagandha,97,Moringa,94.2,Pomegranate,77.1,0.95,112.3,70,3.3,142,3,9,920,Low,0.98,"Avocado, Passion Fruit, Mango"
Kegalle,hill_country,Beginner,High,Backyard,Loamy,Maha,Herbs,No,Turmeric,94.8,Curry Leaves,83.2,Aloe Vera,80,0.696,186.1,76,3.3,205,2,10,187,Medium,0.8,"Lemon, Ginger, Moringa"
Hatton,hill_country,Intermediate,Low,Backyard,Loamy,Yala,Ayurvedic_Plants,Yes,Turmeric,100,Avocado,100,Ginger,93.2,0.72,80.7,76,2.6,290,2,10,238,Medium,0.81,"Lemon, Tomato, Baby Corn"
Nuwara Eliya,hill_country,Beginner,Low,Backyard,Loamy,Yala,Leafy_Greens,Yes,Turmeric,100,Ginger,93.2,Lemon,81.9,0.95,66.6,76,3.5,248,2,10,467,Medium,1.13,"Tomato, Baby Corn, Curry Leaves"
Mullaitivu,northern,Beginner,Low,Backyard,Red_Earth,Yala,Leafy_Greens,No,Chili,89.8,Okra,82.3,Aloe Vera,80,0.634,183.4,72,1,86,2,7,285,Medium,0.91,"Turmeric, Moringa, Eggplant"
Colombo,coastal,Intermediate,Medium,Backyard,Sandy,Maha,Leafy_Greens,No,Aloe Vera,97,Moringa,94.2,Passion Fruit,88.5,0.95,48.5,70,1.5,118,1,10,342,Low,0.95,"Curry Leaves, Chili, Eggplant"
Ampara,wet_zone,Advanced,High,Backyard,Alluvial,Maha,Ayurvedic_Plants,No,Avocado,100,Black Pepper,100,Passion Fruit,97.3,0.815,219.6,82,10.4,153,3,10,590,Medium,0.96,"Turmeric, Aloe Vera, Ashwagandha"
Vavuniya,northern,Advanced,Medium,Backyard,Alluvial,Yala,Herbs,Yes,Chili,99.8,Black Pepper,99.8,Pomegranate,85.7,0.95,53,72,2.4,62,2,9,535,Medium,0.86,"Turmeric, Avocado, Eggplant"
Vavuniya,northern,Advanced,Medium,Backyard,Alluvial,Maha,Leafy_Greens,Yes,Black Pepper,99.8,Chili,90.7,Pomegranate,85.7,0.95,160,88,7.7,272,4,8,1890,High,0.84,"Eggplant, Avocado, Passion Fruit"
Puttalam,dry_zone,Beginner,Low,Rooftop,Alluvial,Yala,Vegetables,No,Aloe Vera,100,Chili,89.8,Curry Leaves,83.2,0.95,158.8,70,3,86,1,10,385,Low,0.89,"Capsicum, Basil, Coriander"
Mullaitivu,northern,Beginner,Medium,Small_Plot,Alluvial,Maha,Fruits,No,Moringa,70.7,Turmeric,64.6,Lime,56.1,0.677,88.3,68,5,99,2,7,558,Low,1.02,"Lemon, Baby Corn, Wood Apple"
